titre,auteur,quantite,priorite,genre
Le journal d'un prisonnier,Nicolas Sarkozy,2,Haute,Politique
La promesse,Danielle Steel,8,Moyenne,Roman
Fait Maison n°7,Cyril Lignac,12,Haute,Cuisine
Naruto Tome 1,Masashi Kishimoto,4,Moyenne,Manga
One Piece Tome 106,Eiichiro Oda,1,Haute,Manga
It Ends with Us,Colleen Hoover,6,Haute,Dark Romance
Captive Tome 1,Sarah Rivens,3,Haute,Dark Romance
L'Inconnue de la Seine,Guillaume Musso,15,Haute,Livre de poche
La vie est un roman,Guillaume Musso,4,Moyenne,Livre de poche
L'archipel du Chien,Philippe Claudel,2,Basse,Littérature
Un animal sauvage,Joël Dicker,20,Haute,Thriller
Le mage du Kremlin,Giuliano da Empoli,5,Haute,Politique
Spy x Family Tome 11,Tatsuya Endo,7,Moyenne,Manga
Blue Lock Tome 15,Muneyuki Kaneshiro,3,Moyenne,Manga
Demon Slayer Tome 23,Koyoharu Gotouge,2,Moyenne,Manga
L'Abîme,Danielle Steel,6,Moyenne,Roman
Secrets,Danielle Steel,4,Basse,Roman
Le temps des combats,Nicolas Sarkozy,3,Haute,Politique
La France d'après,Jérôme Fourquet,5,Moyenne,Sociologie
Cuisine Express,Laurent Mariotte,10,Moyenne,Cuisine
Marmiton : Les meilleures recettes,Collectif,8,Basse,Cuisine
Icebreaker,Hannah Grace,4,Haute,Dark Romance
The Fine Print,Lauren Asher,2,Haute,Dark Romance
Hadès et Perséphone,Scarlett St. Clair,5,Moyenne,Dark Romance
Tout le bleu du ciel,Mélissa Da Costa,12,Haute,Livre de poche
Les douleurs fantômes,Mélissa Da Costa,4,Moyenne,Livre de poche
Kilomètre zéro,Maud Ankaoua,7,Moyenne,Développement personnel
L'énigme de la chambre 622,Joël Dicker,3,Moyenne,Thriller
Ta deuxième vie commence quand...,Raphaëlle Giordano,6,Basse,Livre de poche
Le Petit Prince,Antoine de Saint-Exupéry,10,Basse,Classique
Astérix : L'Iris blanc,Fabcaro,2,Haute,BD
Mortelle Adèle Tome 20,Mr Tan,8,Haute,Jeunesse
Harry Potter à l'école des sorciers,J.K. Rowling,5,Moyenne,Jeunesse
Le tour du monde en 80 jours,Jules Verne,4,Basse,Classique
Gagner la guerre,Jean-Philippe Jaworski,2,Basse,Fantasy
Le Silmarillion,J.R.R. Tolkien,3,Basse,Fantasy
Sapiens,Yuval Noah Harari,6,Moyenne,Sciences
Clean Code,Robert C. Martin,1,Basse,Informatique
Le Mythe de Sisyphe,Albert Camus,4,Basse,Philosophie
Petit Pays,Gaël Faye,7,Moyenne,Livre de poche
Changer l'eau des fleurs,Valérie Perrin,9,Haute,Livre de poche
Trois,Valérie Perrin,4,Moyenne,Roman
L'Anomalie,Hervé Le Tellier,5,Moyenne,Roman
"Cuisiner, c'est partager",Philippe Etchebest,6,Moyenne,Cuisine
"Moi, Simone",Simone Veil,4,Moyenne,Autobiographie
Une terre promise,Barack Obama,3,Basse,Politique
My Hero Academia Tome 37,Kohei Horikoshi,5,Moyenne,Manga
Jujutsu Kaisen Tome 22,Gege Akutami,1,Haute,Manga
The Love Hypothesis,Ali Hazelwood,4,Moyenne,Romance
